Tijdstempel,What's your age ?,My mother tongue is...,Where do you live ?,Who is your (main) broker,What is your FIRE target date?,My main strategy is investing in... (you can only select one),... but my portfolio also contains... (you can select multiple),How big is your emergency fund?,How big is your portfolio ? (Not including your home),What is your FIRE target (portfolio size),"How much do you save each month? (choose closest)(Netto savings rate. Or in other words, how much of the money you get every month can you save?",What is your savings rate ?,I answer these questions as a....
21-7-2021 22:29:01,I am in my 20's,...Dutch,I am living in another country,DeGiro,Before 50 years of age,Single shares or bonds,"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Equity REIT's (investment company investing in Real Estate)",2.000-4.000€,Between 75 and 100k€,Between 1.2M€ and 1.4M€,Up to 2000€,Less then 55% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 22:29:59,I am in my 30's,...Dutch,I am living in another country,Lynx,Before 35 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),,More then 20.000€,Between 800 and 900k€,Between 1.2M€ and 1.4M€,Above 4000€,Less then 85% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 22:32:03,I am in my 20's,...Dutch,Province of West Flanders,Keytrade,Before 45 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Commodities: Gold - Silver - Platinum - etc..., Crypto currency, Physical real estate (house - apartment - garage - agricultural - etc...), Single shares or bonds, TAK21 Pension saving",More then 20.000€,Between 50 and 75k€,Between 5M€ and 10M€,Up to 2000€,Less then 70% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 22:33:43,I am in my 40's,...Dutch,Province of Limburg,Bolero,Before 55 years of age,,"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Crypto currency, Physical real estate (house - apartment - garage - agricultural - etc...), TAK21 Pension saving, TAK23 Pension saving",12.000-14.000€,,Between 4.5M€ and 5M€,Above 4000€,Less then 60% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 22:34:33,I am in my 30's,....French,I am living in another country,Keytrade,Before 45 years of age,Physical real estate (house - apartment - garage - agricultural - etc...),"Mutual share funds, Single shares or bonds",More then 20.000€,More then 1M€,Between 1.6M€ and 1.8M€,Above 4000€,Less then 70% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 22:35:13,I am in my 20's,...Dutch,Province of West Flanders,Bolero,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),,8.000-10.000€,Between 25 and 50k€,Between 700 and 800k€,Up to 500€,Less then 25% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 22:35:25,I am in my 30's,...Dutch,Province of Limburg,DeGiro,Before 45 years of age,Crypto currency,"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Crypto currency, Physical real estate (house - apartment - garage - agricultural - etc...), TAK21 Pension saving",12.000-14.000€,Between 75 and 100k€,Between 700 and 800k€,Up to 500€,Less then 35% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 22:35:45,I am in my 30's,...Dutch,Province of Antwerp,Lynx,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Physical real estate (house - apartment - garage - agricultural - etc...), Single shares or bonds",8.000-10.000€,Between 50 and 75k€,Between 500 and 550k€,Up to 3000€,Less then 65% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 22:36:09,I am in my 30's,....French,Province of Namur,DeGiro,Before 40 years of age,Crypto currency,"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Single shares or bonds",4.000-6.000€,Between 75 and 100k€,Between 550 and 600k€,Up to 800€,Less then 40% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 22:39:54,I am in my 40's,...English,Province of Flemish Brabant,DeGiro,Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Crypto currency, Mutual share funds",18.000-20.000€,Between 25 and 50k€,Between 1M€ and 1.2M€,Up to 2200€,Less then 15% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 22:42:15,I am in my 40's,Romanian,Brussels Capital Region,DeGiro,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),2.000-4.000€,Between 200 and 250k€,Between 300 and 350k€,Up to 2000€,Less then 60% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 22:44:27,I am in my 30's,...Dutch,Brussels Capital Region,DeGiro,Before 60 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Physical real estate (house - apartment - garage - agricultural - etc...),4.000-6.000€,Between 0 and 25k€,Between 500 and 550k€,Up to 1100€,Less then 55% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 22:46:00,I am in my 30's,...Dutch,Province of Antwerp,DeGiro,Before 45 years of age,Crypto currency,"Alternative investments (Wine - Whiskey - Cars - Arts - etc...), Commodities: Gold - Silver - Platinum - etc...",More then 20.000€,Between 450 and 500k€,Between 1.6M€ and 1.8M€,Up to 900€,Less then 40% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 22:46:48,I am in my 40's,...English,Brussels Capital Region,DeGiro,Before 45 years of age,Single shares or bonds,"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Crypto currency, REIT ETF's (ETF's which buy's shares of multiple REIT's)",4.000-6.000€,Between 0 and 25k€,Between 4.5M€ and 5M€,Up to 400€,Less then 25% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 22:50:23,I am in my 20's,....French,Province of Walloon Brabant,DeGiro,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),loan (crowdlending),8.000-10.000€,Between 0 and 25k€,Between 500 and 550k€,Up to 500€,Less then 25% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 22:51:11,I am in my 20's,...Dutch,Province of Antwerp,DeGiro,Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),,More then 20.000€,Between 0 and 25k€,Between 500 and 550k€,Up to 2200€,Less then 45% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 22:54:37,I am in my 30's,...Dutch,Province of West Flanders,DeGiro,Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Crypto currency, Mutual share funds, Mutual bond funds, Single shares or bonds, TAK21 Pension saving",2.000-4.000€,Between 0 and 25k€,,Up to 500€,Less then 25% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 22:58:12,I am in my 30's,Portuguese,Province of Flemish Brabant,DeGiro,I don't think I will FIRE before I officially retire (67),Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Crypto currency, Mutual share funds",18.000-20.000€,Between 0 and 25k€,Between 1.2M€ and 1.4M€,Up to 2000€,Less then 95% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 22:58:40,I am in my 20's,...Dutch,Province of Flemish Brabant,Bolero,Before 60 years of age,Single shares or bonds,"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Crypto currency, Physical real estate (house - apartment - garage - agricultural - etc...), TAK21 Pension saving, TAK23 Pension saving",6.000-8.000€,Between 0 and 25k€,Between 1M€ and 1.2M€,Up to 500€,Less then 35% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 22:59:15,I am in my 20's,...Dutch,Province of Antwerp,Bolero,Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),,4.000-6.000€,Between 0 and 25k€,Between 500 and 550k€,Up to 800€,Less then 35% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 23:06:57,I am in my 30's,...Dutch,Province of Antwerp,BinckBank,Before 50 years of age,Single shares or bonds,"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Physical real estate (house - apartment - garage - agricultural - etc...), Equity REIT's (investment company investing in Real Estate)",8.000-10.000€,Between 75 and 100k€,Between 1M€ and 1.2M€,Up to 600€,Less then 35% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 23:11:34,I am in my 40's,...Dutch,Province of East Flanders,DeGiro,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Broadly diversified bond ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Crypto currency",More then 20.000€,Between 500 and 550k€,Between 1.8M€ and 2M€,Up to 1500€,Less then 35% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 23:11:53,I am in my 20's,...Dutch,Province of Flemish Brabant,Bolero,I don't think I will FIRE before I officially retire (67),Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Crypto currency, TAK23 Pension saving",8.000-10.000€,Between 25 and 50k€,Between 1M€ and 1.2M€,Up to 1000€,Less then 70% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 23:13:39,I am in my 40's,....French,Province of Liège,Keytrade,Before 50 years of age,Crypto currency,"Alternative investments (Wine - Whiskey - Cars - Arts - etc...), Commodities: Gold - Silver - Platinum - etc..., Single shares or bonds, Cash",4.000-6.000€,Between 250 and 300k€,Between 700 and 800k€,Up to 1300€,Less then 45% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 23:15:21,I am in my 20's,...German,Brussels Capital Region,BinckBank,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Crypto currency,More then 20.000€,Between 0 and 25k€,Between 1.4M€ and 1.6M€,Up to 1600€,Less then 60% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 23:16:48,I am in my 30's,...Dutch,Province of Flemish Brabant,DeGiro,Before 60 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Broadly diversified bond ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Single shares or bonds",6.000-8.000€,Between 200 and 250k€,Between 1M€ and 1.2M€,Up to 1200€,Less then 35% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 23:17:02,I am in my 30's,...Dutch,Province of Limburg,Bolero,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Broadly diversified bond ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), REIT ETF's (ETF's which buy's shares of multiple REIT's), Single shares or bonds, TAK21 Pension saving",16.000-18.000€,Between 25 and 50k€,Between 600 and 700k€,Up to 1000€,Less then 35% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 23:17:27,I am in my 30's,...Dutch,Province of Antwerp,Bolero,Before 45 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Single shares or bonds,More then 20.000€,Between 150 and 200k€,Between 500 and 550k€,Up to 2000€,Less then 75% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 23:18:34,I am in my 20's,...German,Brussels Capital Region,BinckBank,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Crypto currency,More then 20.000€,Between 0 and 25k€,Between 1.4M€ and 1.6M€,Up to 1600€,Less then 60% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 23:18:56,I am in my 20's,...Dutch,Province of Antwerp,Belfius,Before 50 years of age,Mutual share funds,Single shares or bonds,8.000-10.000€,Between 25 and 50k€,Between 1M€ and 1.2M€,Up to 2000€,Less then 45% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 23:23:09,I am in my 20's,Spanish,Province of West Flanders,Bolero,Before 60 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Crypto currency,14.000-16.000€,Between 0 and 25k€,Between 900 and 1M€,Up to 700€,Less then 95% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 23:23:15,,,,,,,,,,,,,
21-7-2021 23:38:27,I am in my 30's,Turkish,Province of Flemish Brabant,Keytrade,Before 50 years of age,Crypto currency,,More then 20.000€,Between 150 and 200k€,Between 1M€ and 1.2M€,Up to 3500€,Less then 50% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 23:38:39,I am in my 50's,...Dutch,I am living in another country,DeGiro,Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Broadly diversified bond ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Single shares or bonds",More then 20.000€,Between 900 and 1M€,Between 1.6M€ and 1.8M€,Above 4000€,Less then 60% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 23:40:19,I am in my 40's,...Dutch,Brussels Capital Region,Keytrade,Before 50 years of age,Crypto currency,"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Commodities: Gold - Silver - Platinum - etc..., Crypto currency",More then 20.000€,More then 1M€,Between 1.4M€ and 1.6M€,Up to 100€,Less then 5% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 23:42:45,I am in my 30's,....French,Province of Hainaut,"Just starting out, still have to choose one",Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Crypto currency,2.000-4.000€,Between 0 and 25k€,Between 550 and 600k€,Up to 500€,Less then 25% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 23:44:33,I am in my 30's,...Dutch,Province of West Flanders,Bolero,Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),,6.000-8.000€,Between 25 and 50k€,Between 1M€ and 1.2M€,Up to 1000€,Less then 25% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 23:45:57,I am in my 20's,...Dutch,Province of West Flanders,DeGiro,Before 60 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),,10.000-12.000€,Between 0 and 25k€,Between 1M€ and 1.2M€,Up to 1500€,Less then 90% (but more then above answer),single person trying to reach FIRE (1 person)
21-7-2021 23:46:18,I am in my 40's,...Dutch,Province of Flemish Brabant,Lynx,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Crypto currency, Options, Single shares or bonds, TAK23 Pension saving",More then 20.000€,Between 350 and 400k€,Between 1M€ and 1.2M€,Up to 2400€,Less then 70% (but more then above answer),couple trying to reach FIRE (2 person)
21-7-2021 23:48:36,I am in my 30's,...Dutch,Brussels Capital Region,DeGiro,Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Crypto currency,10.000-12.000€,Between 25 and 50k€,Between 800 and 900k€,Up to 1100€,Less then 55% (but more then above answer),single person trying to reach FIRE (1 person)
22-7-2021 0:01:43,I am in my 20's,...Dutch,Province of East Flanders,DeGiro,Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Commodities: Gold - Silver - Platinum - etc...,2.000-4.000€,Between 25 and 50k€,Between 900 and 1M€,Up to 500€,Less then 20% (but more then above answer),single person trying to reach FIRE (1 person)
22-7-2021 0:05:43,I am in my 40's,,Brussels Capital Region,Bolero,Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Physical real estate (house - apartment - garage - agricultural - etc...),12.000-14.000€,Between 200 and 250k€,Between 900 and 1M€,Up to 2000€,Less then 40% (but more then above answer),Single with 1 child
22-7-2021 0:08:14,I am in my 20's,....French,Province of Walloon Brabant,DeGiro,Before 45 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Crypto currency, Single shares or bonds",6.000-8.000€,Between 0 and 25k€,Between 600 and 700k€,Up to 1500€,Less then 60% (but more then above answer),single person trying to reach FIRE (1 person)
22-7-2021 0:10:22,I am in my 30's,...Dutch,Province of West Flanders,Keytrade,Before 45 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Physical real estate (house - apartment - garage - agricultural - etc...)",12.000-14.000€,Between 0 and 25k€,Between 1.4M€ and 1.6M€,Up to 1500€,Less then 35% (but more then above answer),couple trying to reach FIRE for multiple people (3 persons or more)(example: long term taking care of  disabled kids)
22-7-2021 0:14:56,I am in my 20's,...Dutch,Province of East Flanders,Bolero,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Single shares or bonds,8.000-10.000€,Between 25 and 50k€,Between 1M€ and 1.2M€,Up to 1500€,Less then 35% (but more then above answer),couple trying to reach FIRE (2 person)
22-7-2021 0:33:16,I am in my 20's,...Dutch,Province of Antwerp,Bolero,Before 40 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Mutual share funds, Mutual bond funds, Single shares or bonds",2.000-4.000€,Between 25 and 50k€,Between 1M€ and 1.2M€,Up to 600€,Less then 80% (but more then above answer),single person trying to reach FIRE (1 person)
22-7-2021 0:33:18,I am in my 20's,...Dutch,Province of East Flanders,Bolero,Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Single shares or bonds,More then 20.000€,Between 0 and 25k€,,Up to 1000€,Less then 35% (but more then above answer),single person trying to reach FIRE (1 person)
22-7-2021 0:37:01,I am in my 20's,...Dutch,Province of West Flanders,Bolero,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Alternative investments (Wine - Whiskey - Cars - Arts - etc...), Physical real estate (house - apartment - garage - agricultural - etc...)",8.000-10.000€,Between 0 and 25k€,Between 600 and 700k€,Up to 1000€,Less then 80% (but more then above answer),single person trying to reach FIRE (1 person)
22-7-2021 0:37:40,I am in my 30's,...Dutch,Province of Antwerp,Bolero,Before 45 years of age,Physical real estate (house - apartment - garage - agricultural - etc...),"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Crypto currency, Options, Equity REIT's (investment company investing in Real Estate), Single shares or bonds",More then 20.000€,More then 1M€,Between 3M€ and 3.5M€,Up to 1000€,Less then 40% (but more then above answer),single person trying to reach FIRE (1 person)
22-7-2021 0:49:11,I am in my 20's,...Dutch,Province of Antwerp,DeGiro,Before 45 years of age,Crypto currency,"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Commodities: Gold - Silver - Platinum - etc..., Single shares or bonds",More then 20.000€,Between 125 and 150k€,Between 1.4M€ and 1.6M€,Up to 1000€,Less then 75% (but more then above answer),single person trying to reach FIRE (1 person)
22-7-2021 0:54:56,I am in my 30's,...Dutch,Province of Flemish Brabant,Bolero,Before 45 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Physical real estate (house - apartment - garage - agricultural - etc...),More then 20.000€,Between 200 and 250k€,Between 450 and 500k€,Above 4000€,Less then 75% (but more then above answer),single person trying to reach FIRE (1 person)
22-7-2021 1:03:58,I am in my 30's,...Dutch,Province of Antwerp,Lynx,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Mutual share funds, Options, Physical real estate (house - apartment - garage - agricultural - etc...)",4.000-6.000€,Between 50 and 75k€,Between 1M€ and 1.2M€,Up to 500€,Less then 10% (but more then above answer),couple trying to reach FIRE (2 person)
22-7-2021 1:08:05,I am in my 40's,...Dutch,Province of Antwerp,Bolero,Before 60 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Single shares or bonds,2.000-4.000€,Between 900 and 1M€,Between 1.8M€ and 2M€,Above 4000€,Less then 85% (but more then above answer),"Couple, but my wife is not interested in FIRe"
22-7-2021 1:08:13,I am in my 30's,Portuguese,Province of Flemish Brabant,DeGiro,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Crypto currency, Physical real estate (house - apartment - garage - agricultural - etc...), Equity REIT's (investment company investing in Real Estate), Single shares or bonds",More then 20.000€,Between 100 and 125k€,Between 500 and 550k€,Up to 2000€,Less then 70% (but more then above answer),single person trying to reach FIRE (1 person)
22-7-2021 1:09:30,I am in my 30's,....French,Province of Walloon Brabant,DeGiro,Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Broadly diversified bond ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Physical real estate (house - apartment - garage - agricultural - etc...)",More then 20.000€,Between 100 and 125k€,Between 800 and 900k€,Up to 1000€,Less then 35% (but more then above answer),couple trying to reach FIRE (2 person)
22-7-2021 1:13:53,I am in my 20's,...Dutch,Province of West Flanders,Bux Zero,Before 60 years of age,Single shares or bonds,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),More then 20.000€,Between 0 and 25k€,Between 1M€ and 1.2M€,Up to 1200€,Less then 70% (but more then above answer),single person trying to reach FIRE (1 person)
22-7-2021 1:20:31,I am in my 20's,Spanish,Brussels Capital Region,DeGiro,Before 60 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),TAK21 Pension saving,10.000-12.000€,Between 0 and 25k€,Between 450 and 500k€,Up to 500€,Less then 30% (but more then above answer),single person trying to reach FIRE (1 person)
22-7-2021 1:24:41,I am in my 30's,...Dutch,Province of Antwerp,BinckBank,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Single shares or bonds, TAK21 Pension saving, TAK23 Pension saving, P2P, win win leningen",8.000-10.000€,Between 250 and 300k€,Between 700 and 800k€,Up to 2400€,Less then 70% (but more then above answer),single person trying to reach FIRE (1 person)
22-7-2021 1:46:41,I am in my 30's,...Dutch,Province of East Flanders,Keytrade,Before 55 years of age,Equity REIT's (investment company investing in Real Estate),"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Commodities: Gold - Silver - Platinum - etc..., Single shares or bonds, P2P lending",4.000-6.000€,Between 100 and 125k€,Between 600 and 700k€,Up to 400€,Less then 30% (but more then above answer),single person trying to reach FIRE (1 person)
22-7-2021 2:41:40,I am in my 30's,...English,Brussels Capital Region,DeGiro,Before 45 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Crypto currency, Physical real estate (house - apartment - garage - agricultural - etc...), Single shares or bonds",6.000-8.000€,Between 250 and 300k€,Between 450 and 500k€,Up to 2200€,Less then 65% (but more then above answer),single person trying to reach FIRE (1 person)
22-7-2021 2:56:15,I am in my 20's,...Dutch,Province of Flemish Brabant,DeGiro,Before my 30's,Single shares or bonds,,4.000-6.000€,Between 0 and 25k€,Above 10M€....,Up to 1000€,Less then 55% (but more then above answer),single person trying to reach FIRE (1 person)
22-7-2021 3:13:56,I am in my 20's,....French,Brussels Capital Region,Kraken,I don't think I will FIRE before I officially retire (67),Mutual share funds,"Crypto currency, TAK21 Pension saving",More then 20.000€,Between 300 and 350k€,Between 1M€ and 1.2M€,Up to 1100€,Less then 40% (but more then above answer),single person trying to reach FIRE (1 person)
22-7-2021 3:17:56,I am in my 20's,...Dutch,Province of Limburg,DeGiro,I don't think I will FIRE before I officially retire (67),Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Single shares or bonds,2.000-4.000€,Between 25 and 50k€,Between 500 and 550k€,Up to 1500€,Less then 75% (but more then above answer),single person trying to reach FIRE (1 person)
22-7-2021 4:20:52,I am in my 20's,...Dutch,Province of East Flanders,Lynx,Before 50 years of age,Options,"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Commodities: Gold - Silver - Platinum - etc..., Crypto currency, Equity REIT's (investment company investing in Real Estate), Single shares or bonds",4.000-6.000€,Between 150 and 200k€,Between 600 and 700k€,Up to 1000€,Less then 55% (but more then above answer),single person trying to reach FIRE (1 person)
22-7-2021 5:26:37,I am in my 20's,...Dutch,Province of Limburg,DeGiro,Before 45 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Single shares or bonds,More then 20.000€,Between 50 and 75k€,Between 550 and 600k€,Up to 300€,Less then 15% (but more then above answer),single person trying to reach FIRE (1 person)
22-7-2021 5:48:32,I am in my 30's,...Dutch,Province of Flemish Brabant,Interactive Brokers,Before 45 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Broadly diversified bond ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Crypto currency",More then 20.000€,More then 1M€,Between 5M€ and 10M€,Above 4000€,Less then 90% (but more then above answer),FI
22-7-2021 6:33:52,I am in my 30's,Romanian,Brussels Capital Region,Keytrade,Before 60 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Alternative investments (Wine - Whiskey - Cars - Arts - etc...), Broadly diversified bond ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Physical real estate (house - apartment - garage - agricultural - etc...), Single shares or bonds",More then 20.000€,Between 25 and 50k€,Between 1M€ and 1.2M€,,Less then 30% (but more then above answer),couple trying to reach FIRE (2 person)
22-7-2021 6:48:10,I am in my 20's,...Dutch,Brussels Capital Region,Bolero,Before 50 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Crypto currency, TAK21 Pension saving",14.000-16.000€,Between 125 and 150k€,Between 600 and 700k€,Up to 700€,Less then 45% (but more then above answer),single person trying to reach FIRE (1 person)
22-7-2021 7:03:55,I am in my 20's,...Dutch,Province of Limburg,Belfius,Before 40 years of age,Crypto currency,Mutual bond funds,8.000-10.000€,Between 250 and 300k€,Between 2.8M€ and 3M€,Up to 600€,Less then 30% (but more then above answer),single person trying to reach FIRE (1 person)
22-7-2021 7:07:21,I am in my 30's,...Dutch,Province of Antwerp,DeGiro,Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),"Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...), Crypto currency",18.000-20.000€,Between 0 and 25k€,Between 700 and 800k€,Up to 400€,Less then 20% (but more then above answer),single person trying to reach FIRE (1 person)
22-7-2021 7:16:28,I am in my 30's,Telugu,Province of Flemish Brabant,DeGiro,Before 60 years of age,Equity REIT's (investment company investing in Real Estate),Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),4.000-6.000€,Between 0 and 25k€,Between 50 and 75k€,Up to 1000€,Less then 35% (but more then above answer),single person trying to reach FIRE (1 person)
22-7-2021 7:20:22,I am in my 20's,...Dutch,Province of Flemish Brabant,Bolero,Before 55 years of age,Broadly diversified share ETF's (according to BE-FIRE strategy: accumulating & Ireland based & etc...),Physical real estate (house - apartment - garage - agricultural - etc...),More then 20.000€,Between 0 and 25k€,Between 1M€ and 1.2M€,Up to 500€,Less then 50% (but more then above answer),single person trying to reach FIRE (1 person)
